transaction_id,timestamp,transaction_type,merchant_category,amount_inr,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,hour_of_day,is_weekend,transaction_status,fraud_flag,anomaly_score,anomaly_risk_band
TXN0000150392,2024-05-15 16:47:53,Bill Payment,Entertainment,73,56+,56+,Rajasthan,IndusInd,SBI,Web,5G,16,0,SUCCESS,0,0.5393019307764632,High Anomaly
TXN0000086916,2024-12-01 07:18:47,Recharge,Utilities,3468,36-45,46-55,Karnataka,HDFC,IndusInd,Web,5G,7,1,FAILED,0,0.5391485040119142,High Anomaly
TXN0000199283,2024-02-04 23:55:01,Bill Payment,Grocery,624,56+,56+,Maharashtra,HDFC,Kotak,Web,5G,23,1,SUCCESS,0,0.5391389986687104,High Anomaly
TXN0000037256,2024-05-30 01:19:53,P2P,Entertainment,128,46-55,56+,Rajasthan,Axis,Yes Bank,Web,5G,1,0,SUCCESS,0,0.5389931578503759,High Anomaly
TXN0000066459,2024-12-16 15:04:27,Recharge,Fuel,2490,36-45,56+,Uttar Pradesh,ICICI,Axis,Web,3G,15,0,SUCCESS,0,0.5385287737878409,High Anomaly
TXN0000026073,2024-12-22 08:28:07,Recharge,Utilities,337,36-45,26-35,Maharashtra,IndusInd,Axis,Web,WiFi,8,1,SUCCESS,0,0.5383250063228999,High Anomaly
TXN0000005128,2024-11-08 20:51:33,Recharge,Food,60,46-55,56+,Uttar Pradesh,Axis,IndusInd,iOS,3G,20,0,SUCCESS,0,0.5382400230019683,High Anomaly
TXN0000032055,2024-08-06 12:55:18,Recharge,Food,50,56+,36-45,West Bengal,Kotak,Kotak,iOS,WiFi,12,0,SUCCESS,0,0.5381381263953195,High Anomaly
TXN0000182312,2024-10-12 22:54:38,P2M,Entertainment,526,18-25,56+,Rajasthan,Axis,Yes Bank,iOS,3G,22,1,SUCCESS,0,0.5379634020872198,High Anomaly
TXN0000000113,2024-02-05 19:13:08,Bill Payment,Other,2474,56+,46-55,Delhi,Axis,HDFC,Web,WiFi,19,0,SUCCESS,0,0.5378466166135075,High Anomaly
TXN0000222710,2024-02-12 15:39:54,P2M,Utilities,19906,56+,56+,Uttar Pradesh,SBI,Yes Bank,Web,3G,15,0,SUCCESS,0,0.5376687023208144,High Anomaly
TXN0000168921,2024-02-10 22:38:17,Bill Payment,Fuel,1019,36-45,46-55,Delhi,SBI,PNB,Web,3G,22,1,SUCCESS,0,0.5376025274376175,High Anomaly
TXN0000149548,2024-09-14 18:19:07,P2M,Grocery,3072,56+,56+,Andhra Pradesh,ICICI,IndusInd,Web,WiFi,18,1,SUCCESS,0,0.5372443388755507,High Anomaly
TXN0000064540,2024-03-22 19:23:35,P2M,Utilities,739,56+,46-55,Tamil Nadu,HDFC,PNB,Web,3G,19,0,SUCCESS,0,0.5371826854123706,High Anomaly
TXN0000028705,2024-05-14 19:18:52,Bill Payment,Shopping,2809,46-55,18-25,Telangana,HDFC,IndusInd,Web,WiFi,19,0,SUCCESS,0,0.537072366352393,High Anomaly
TXN0000073876,2024-08-18 05:31:17,Bill Payment,Grocery,354,56+,36-45,Rajasthan,Yes Bank,ICICI,Web,WiFi,5,1,FAILED,0,0.5368738960682509,High Anomaly
TXN0000245671,2024-06-06 12:52:24,Bill Payment,Shopping,1481,46-55,56+,Karnataka,Axis,PNB,iOS,3G,12,0,SUCCESS,0,0.5365934921935338,High Anomaly
TXN0000050811,2024-02-21 17:07:31,Bill Payment,Education,1620,46-55,36-45,Andhra Pradesh,Yes Bank,IndusInd,Web,WiFi,17,0,SUCCESS,0,0.5365567308270596,High Anomaly
TXN0000202031,2024-09-13 22:23:52,Recharge,Entertainment,110,36-45,56+,Telangana,Yes Bank,Yes Bank,Web,4G,22,0,SUCCESS,0,0.5363787525013278,High Anomaly
TXN0000010715,2024-02-23 02:32:28,Recharge,Other,607,36-45,56+,Gujarat,PNB,PNB,iOS,3G,2,0,SUCCESS,0,0.5363704891873509,High Anomaly
TXN0000133566,2024-06-01 21:56:08,P2M,Grocery,622,46-55,56+,Tamil Nadu,Kotak,Kotak,Web,3G,21,1,SUCCESS,0,0.5361321120505669,High Anomaly
TXN0000061471,2024-02-11 13:13:53,Recharge,Fuel,1343,18-25,46-55,Maharashtra,IndusInd,IndusInd,iOS,3G,13,1,SUCCESS,0,0.5359285398773443,High Anomaly
TXN0000032795,2024-03-09 15:12:52,P2M,Fuel,439,46-55,56+,Uttar Pradesh,Kotak,HDFC,Web,WiFi,15,1,SUCCESS,0,0.5357973231320815,High Anomaly
TXN0000095108,2024-11-16 01:25:12,P2P,Utilities,2614,46-55,36-45,Uttar Pradesh,Axis,Axis,Web,WiFi,1,1,SUCCESS,0,0.5357782196897536,High Anomaly
TXN0000139713,2024-03-02 09:46:11,Recharge,Entertainment,254,26-35,26-35,Karnataka,PNB,HDFC,Web,3G,9,1,SUCCESS,0,0.5357649792320489,High Anomaly
TXN0000015991,2024-02-04 12:00:18,Bill Payment,Shopping,1643,56+,46-55,Karnataka,HDFC,ICICI,iOS,WiFi,12,1,SUCCESS,0,0.5355486468162873,High Anomaly
TXN0000050727,2024-08-17 03:14:40,Recharge,Shopping,466,46-55,18-25,Uttar Pradesh,PNB,Axis,iOS,3G,3,1,SUCCESS,0,0.5354751132589585,High Anomaly
TXN0000220446,2024-09-21 06:37:22,Recharge,Food,99,18-25,18-25,Uttar Pradesh,ICICI,HDFC,Web,WiFi,6,1,SUCCESS,0,0.5353473890160689,High Anomaly
TXN0000073769,2024-09-19 11:14:36,P2M,Education,4337,56+,56+,Delhi,IndusInd,ICICI,iOS,WiFi,11,0,SUCCESS,0,0.5352911225837649,High Anomaly
TXN0000208561,2024-03-02 11:23:49,Bill Payment,Education,3153,18-25,46-55,Karnataka,ICICI,Axis,iOS,WiFi,11,1,SUCCESS,0,0.5351674960527236,High Anomaly
TXN0000148612,2024-07-23 20:01:09,Bill Payment,Shopping,508,36-45,56+,Rajasthan,SBI,IndusInd,Web,3G,20,0,SUCCESS,0,0.5351515887830945,High Anomaly
TXN0000098167,2024-05-26 23:37:49,Recharge,Grocery,312,46-55,36-45,West Bengal,ICICI,Axis,iOS,3G,23,1,SUCCESS,0,0.5351310730589667,High Anomaly
TXN0000064663,2024-08-28 06:51:25,P2M,Fuel,670,46-55,56+,Maharashtra,Yes Bank,IndusInd,Web,WiFi,6,0,SUCCESS,0,0.5351259023627504,High Anomaly
TXN0000123277,2024-03-21 07:43:41,Bill Payment,Shopping,1385,36-45,46-55,Delhi,SBI,PNB,Web,WiFi,7,0,SUCCESS,0,0.5348490161616889,High Anomaly
TXN0000051483,2024-10-06 20:26:10,P2M,Grocery,790,46-55,56+,Rajasthan,Axis,ICICI,Web,3G,20,1,SUCCESS,0,0.5348429414491382,High Anomaly
TXN0000130293,2024-02-12 06:58:40,Bill Payment,Entertainment,666,18-25,56+,Andhra Pradesh,ICICI,IndusInd,Web,WiFi,6,0,SUCCESS,0,0.5348220219452702,High Anomaly
TXN0000162516,2024-02-20 18:52:58,P2M,Healthcare,1374,56+,18-25,Tamil Nadu,ICICI,ICICI,Web,WiFi,18,0,SUCCESS,0,0.5347207531461029,High Anomaly
TXN0000163509,2024-02-29 19:57:41,P2P,Utilities,2593,56+,56+,Karnataka,ICICI,IndusInd,Web,3G,19,0,SUCCESS,0,0.534548031157811,High Anomaly
TXN0000226377,2024-01-13 19:56:15,P2P,Entertainment,72,26-35,56+,Andhra Pradesh,Yes Bank,IndusInd,iOS,3G,19,1,SUCCESS,0,0.5344874759515579,High Anomaly
TXN0000189234,2024-08-23 18:06:18,Recharge,Food,345,46-55,36-45,Karnataka,ICICI,ICICI,Web,3G,18,0,FAILED,0,0.5344842006393246,High Anomaly
TXN0000204333,2024-06-21 21:54:46,Bill Payment,Utilities,6709,56+,26-35,Gujarat,PNB,IndusInd,Web,WiFi,21,0,SUCCESS,0,0.534438052914716,High Anomaly
TXN0000243937,2024-04-06 11:32:14,Bill Payment,Entertainment,178,46-55,26-35,Karnataka,ICICI,ICICI,Web,WiFi,11,1,SUCCESS,0,0.5342996946135169,High Anomaly
TXN0000084372,2024-11-12 12:09:20,Bill Payment,Utilities,1963,56+,26-35,Delhi,IndusInd,HDFC,Web,WiFi,12,0,SUCCESS,0,0.5342493689626656,High Anomaly
TXN0000156923,2024-08-31 10:56:49,Recharge,Fuel,1903,36-45,18-25,Delhi,SBI,Axis,Web,3G,10,1,SUCCESS,0,0.5342442118477444,High Anomaly
TXN0000184598,2024-06-23 22:00:14,P2P,Entertainment,172,46-55,46-55,Telangana,Axis,PNB,Web,5G,22,1,SUCCESS,0,0.5342033526455046,High Anomaly
TXN0000231113,2024-05-23 06:21:58,Recharge,Other,234,56+,18-25,Andhra Pradesh,IndusInd,SBI,Web,5G,6,0,SUCCESS,0,0.5341031408161699,High Anomaly
TXN0000113919,2024-08-03 05:27:57,Bill Payment,Fuel,539,46-55,36-45,West Bengal,Kotak,SBI,Web,3G,5,1,SUCCESS,0,0.5340054849124112,High Anomaly
TXN0000219567,2024-12-07 18:09:07,Bill Payment,Fuel,339,56+,18-25,Rajasthan,Axis,Kotak,Web,WiFi,18,1,SUCCESS,0,0.5338367693646795,High Anomaly
TXN0000169186,2024-03-04 10:59:19,P2P,Other,594,56+,56+,Gujarat,HDFC,ICICI,Web,3G,10,0,SUCCESS,0,0.5338328135572141,High Anomaly
TXN0000083431,2024-12-30 19:44:34,Recharge,Fuel,411,36-45,46-55,Andhra Pradesh,IndusInd,HDFC,iOS,WiFi,19,0,SUCCESS,0,0.5337710826030351,High Anomaly
TXN0000116957,2024-05-26 02:30:37,Bill Payment,Education,1657,36-45,26-35,Telangana,SBI,IndusInd,Web,WiFi,2,1,SUCCESS,0,0.5336859585726471,High Anomaly
TXN0000153038,2024-01-23 00:58:44,P2M,Entertainment,887,18-25,56+,Tamil Nadu,PNB,Axis,Web,WiFi,0,0,SUCCESS,0,0.5336158059293599,High Anomaly
TXN0000019932,2024-11-30 21:17:57,P2M,Shopping,182,56+,18-25,Karnataka,Kotak,PNB,Web,5G,21,1,SUCCESS,0,0.5335713385580695,High Anomaly
TXN0000105347,2024-10-07 20:22:32,Recharge,Fuel,2292,56+,46-55,Rajasthan,HDFC,IndusInd,Web,4G,20,0,SUCCESS,0,0.5335642399431255,High Anomaly
TXN0000179695,2024-05-03 12:06:18,P2M,Shopping,1088,56+,46-55,Gujarat,ICICI,Kotak,Web,3G,12,0,SUCCESS,0,0.5335319951891058,High Anomaly
TXN0000060965,2024-02-11 19:05:06,Recharge,Food,485,36-45,56+,West Bengal,Kotak,IndusInd,iOS,3G,19,1,SUCCESS,0,0.5334337277032152,High Anomaly
TXN0000143474,2024-03-03 18:11:56,Bill Payment,Entertainment,436,46-55,18-25,Telangana,Yes Bank,Kotak,Web,WiFi,18,1,SUCCESS,0,0.5333418684390769,High Anomaly
TXN0000134688,2024-07-23 10:00:51,Recharge,Utilities,537,36-45,56+,Gujarat,IndusInd,Yes Bank,iOS,WiFi,10,0,SUCCESS,0,0.5333266153273705,High Anomaly
TXN0000224194,2024-10-22 16:42:17,Recharge,Entertainment,1334,18-25,36-45,Rajasthan,Axis,Yes Bank,Web,3G,16,0,SUCCESS,0,0.533260551732519,High Anomaly
TXN0000188132,2024-09-29 19:25:34,P2M,Transport,227,36-45,56+,Delhi,Kotak,HDFC,Web,3G,19,1,SUCCESS,0,0.533252662581717,High Anomaly
TXN0000242557,2024-10-18 16:49:37,Bill Payment,Food,76,56+,56+,Karnataka,IndusInd,SBI,iOS,WiFi,16,0,SUCCESS,0,0.5331832197263551,High Anomaly
TXN0000132473,2024-09-26 21:22:37,Recharge,Utilities,295,36-45,18-25,Telangana,HDFC,IndusInd,Web,WiFi,21,0,SUCCESS,0,0.5330370687461685,High Anomaly
TXN0000057768,2024-08-18 14:21:10,Bill Payment,Education,13777,36-45,18-25,Karnataka,PNB,HDFC,Web,WiFi,14,1,FAILED,0,0.5330135130939637,High Anomaly
TXN0000017821,2024-09-07 08:27:26,Recharge,Fuel,494,56+,26-35,Uttar Pradesh,Axis,Axis,Web,4G,8,1,SUCCESS,0,0.5329606189483886,High Anomaly
TXN0000144478,2024-05-18 19:25:16,Recharge,Utilities,813,46-55,46-55,Gujarat,SBI,IndusInd,iOS,WiFi,19,1,SUCCESS,0,0.5328821101457368,High Anomaly
TXN0000237274,2024-06-21 18:13:20,Recharge,Shopping,270,56+,46-55,Maharashtra,Kotak,Kotak,Web,4G,18,0,SUCCESS,0,0.5328616297847664,High Anomaly
TXN0000164851,2024-08-29 12:29:06,Bill Payment,Food,87,46-55,46-55,Tamil Nadu,HDFC,HDFC,iOS,WiFi,12,0,SUCCESS,0,0.532825484931477,High Anomaly
TXN0000017443,2024-09-28 10:19:05,P2M,Shopping,5336,46-55,56+,Rajasthan,Kotak,IndusInd,iOS,WiFi,10,1,SUCCESS,0,0.5328046809335374,High Anomaly
TXN0000069389,2024-10-01 22:53:33,P2P,Other,290,46-55,56+,Andhra Pradesh,PNB,ICICI,Web,3G,22,0,SUCCESS,0,0.5327970175144774,High Anomaly
TXN0000120908,2024-01-29 06:33:01,Recharge,Fuel,2762,18-25,36-45,West Bengal,Axis,SBI,iOS,3G,6,0,SUCCESS,0,0.5327403964502881,High Anomaly
TXN0000088034,2024-08-11 18:01:04,P2P,Utilities,4803,46-55,56+,West Bengal,IndusInd,ICICI,iOS,WiFi,18,1,SUCCESS,0,0.5327049884024587,High Anomaly
TXN0000036146,2024-11-15 03:33:58,Recharge,Utilities,6983,36-45,36-45,Karnataka,Kotak,PNB,iOS,WiFi,3,0,FAILED,0,0.5326917680601475,High Anomaly
TXN0000133480,2024-06-29 09:10:38,P2M,Fuel,3293,56+,26-35,Tamil Nadu,Axis,Yes Bank,iOS,3G,9,1,SUCCESS,0,0.5323334446974703,High Anomaly
TXN0000006210,2024-06-29 21:18:49,Recharge,Utilities,971,18-25,18-25,Rajasthan,SBI,HDFC,Web,3G,21,1,SUCCESS,0,0.5323170039283787,High Anomaly
TXN0000153343,2024-06-09 17:30:45,Recharge,Education,3091,56+,26-35,Uttar Pradesh,PNB,SBI,Web,4G,17,1,SUCCESS,0,0.5322529791998645,High Anomaly
TXN0000155410,2024-02-04 08:18:07,Bill Payment,Education,2844,18-25,46-55,West Bengal,Yes Bank,Axis,Web,WiFi,8,1,SUCCESS,0,0.5321812535541487,High Anomaly
TXN0000186923,2024-07-20 18:11:08,Recharge,Food,1070,56+,46-55,Tamil Nadu,HDFC,Axis,iOS,WiFi,18,1,SUCCESS,0,0.5319627712763839,High Anomaly
TXN0000211501,2024-10-29 08:11:55,Bill Payment,Shopping,2706,36-45,56+,Karnataka,IndusInd,IndusInd,iOS,3G,8,0,SUCCESS,0,0.5319604200041048,High Anomaly
TXN0000185428,2024-03-17 17:21:50,Recharge,Shopping,1491,46-55,18-25,Karnataka,Axis,Yes Bank,iOS,WiFi,17,1,SUCCESS,0,0.5319345482463186,High Anomaly
TXN0000084356,2024-09-06 11:28:53,Recharge,Healthcare,554,36-45,46-55,Karnataka,ICICI,Yes Bank,Web,5G,11,0,SUCCESS,0,0.5318366299307108,High Anomaly
TXN0000171611,2024-12-15 18:31:55,Recharge,Shopping,1294,46-55,26-35,West Bengal,Axis,HDFC,iOS,WiFi,18,1,SUCCESS,0,0.531831313322694,High Anomaly
TXN0000176056,2024-02-12 11:05:28,Recharge,Entertainment,280,36-45,26-35,Andhra Pradesh,IndusInd,Yes Bank,Web,WiFi,11,0,SUCCESS,0,0.5317972934474685,High Anomaly
TXN0000212210,2024-06-15 20:39:03,Recharge,Transport,97,26-35,46-55,Tamil Nadu,HDFC,IndusInd,iOS,3G,20,1,SUCCESS,0,0.5317802267946757,High Anomaly
TXN0000130305,2024-11-10 09:56:09,Recharge,Shopping,2567,56+,36-45,Rajasthan,Yes Bank,HDFC,Web,4G,9,1,SUCCESS,0,0.5316762369239314,High Anomaly
TXN0000114819,2024-08-03 13:41:48,Bill Payment,Other,1551,18-25,46-55,Maharashtra,Kotak,ICICI,Web,WiFi,13,1,SUCCESS,0,0.531649462585036,High Anomaly
TXN0000170779,2024-02-09 15:17:43,Recharge,Utilities,1858,36-45,46-55,Delhi,Kotak,IndusInd,Web,WiFi,15,0,SUCCESS,0,0.5315851423410674,High Anomaly
TXN0000237725,2024-12-28 19:44:30,Bill Payment,Food,382,18-25,56+,Rajasthan,Kotak,IndusInd,iOS,WiFi,19,1,SUCCESS,0,0.5315801480962599,High Anomaly
TXN0000117284,2024-06-08 11:50:10,Bill Payment,Food,481,26-35,46-55,Rajasthan,Kotak,PNB,Web,5G,11,1,SUCCESS,0,0.5314706472692129,High Anomaly
TXN0000217039,2024-11-09 15:27:03,Recharge,Food,1118,26-35,26-35,Karnataka,PNB,Axis,Web,3G,15,1,SUCCESS,0,0.5314021899327132,High Anomaly
TXN0000175279,2024-05-12 12:50:59,Recharge,Other,213,46-55,26-35,Uttar Pradesh,ICICI,SBI,Web,WiFi,12,1,SUCCESS,0,0.5313560924102307,High Anomaly
TXN0000037081,2024-07-14 22:57:13,P2M,Education,1262,26-35,46-55,Tamil Nadu,SBI,PNB,Web,3G,22,1,SUCCESS,0,0.5312575110286871,High Anomaly
TXN0000056658,2024-02-25 10:47:29,Recharge,Fuel,551,46-55,56+,Tamil Nadu,ICICI,Kotak,iOS,4G,10,1,SUCCESS,0,0.5312395993400226,High Anomaly
TXN0000069979,2024-04-13 13:52:43,P2P,Food,43,56+,46-55,Andhra Pradesh,Axis,SBI,iOS,3G,13,1,FAILED,0,0.5312369116493827,High Anomaly
TXN0000076709,2024-03-30 13:43:14,P2P,Shopping,497,46-55,56+,West Bengal,ICICI,ICICI,Web,WiFi,13,1,SUCCESS,0,0.5310739021125028,High Anomaly
TXN0000181101,2024-09-29 20:05:08,Bill Payment,Utilities,7854,36-45,46-55,Telangana,SBI,IndusInd,iOS,WiFi,20,1,SUCCESS,0,0.530961893253539,High Anomaly
TXN0000148683,2024-09-07 10:44:49,Recharge,Shopping,616,56+,36-45,Tamil Nadu,IndusInd,PNB,Web,4G,10,1,SUCCESS,0,0.5309069606971514,High Anomaly
TXN0000208928,2024-12-07 13:10:18,Bill Payment,Transport,20,56+,26-35,Uttar Pradesh,PNB,Axis,Web,5G,13,1,SUCCESS,0,0.5308849763046758,High Anomaly
TXN0000127959,2024-01-20 21:18:34,P2P,Entertainment,223,56+,46-55,West Bengal,IndusInd,Yes Bank,iOS,WiFi,21,1,SUCCESS,0,0.5307882455608629,High Anomaly
TXN0000163839,2024-07-14 11:09:15,P2P,Education,3037,46-55,56+,Tamil Nadu,Yes Bank,ICICI,iOS,3G,11,1,SUCCESS,0,0.5307629735703758,High Anomaly
TXN0000152458,2024-12-25 13:08:13,Recharge,Education,1569,26-35,26-35,Telangana,Axis,Yes Bank,Web,3G,13,0,SUCCESS,0,0.5307628340172041,High Anomaly
TXN0000056073,2024-02-18 22:46:12,Bill Payment,Utilities,801,46-55,18-25,Tamil Nadu,Kotak,ICICI,iOS,3G,22,1,SUCCESS,0,0.5307166884438421,High Anomaly
TXN0000179021,2024-01-14 22:26:33,P2P,Shopping,590,46-55,36-45,Rajasthan,HDFC,Kotak,Web,3G,22,1,SUCCESS,0,0.5307157707167061,High Anomaly
TXN0000193983,2024-03-11 18:57:13,P2M,Shopping,702,56+,26-35,Telangana,HDFC,HDFC,Web,3G,18,0,SUCCESS,0,0.5307126843566302,High Anomaly
TXN0000017797,2024-10-20 15:15:46,P2M,Fuel,3436,56+,36-45,Rajasthan,ICICI,SBI,Web,WiFi,15,1,SUCCESS,0,0.5306309588343423,High Anomaly
TXN0000240707,2024-01-13 06:34:09,Recharge,Fuel,509,36-45,56+,West Bengal,IndusInd,PNB,iOS,4G,6,1,SUCCESS,0,0.5306173423406305,High Anomaly
TXN0000002285,2024-12-01 19:18:46,Bill Payment,Education,6466,56+,18-25,Rajasthan,HDFC,PNB,iOS,5G,19,1,SUCCESS,0,0.530524487564534,High Anomaly
TXN0000178971,2024-08-03 20:50:53,P2M,Utilities,4658,36-45,56+,Tamil Nadu,HDFC,IndusInd,Web,WiFi,20,1,SUCCESS,0,0.5304724146213868,High Anomaly
TXN0000238895,2024-01-28 00:34:57,Bill Payment,Transport,592,18-25,56+,Uttar Pradesh,IndusInd,PNB,iOS,WiFi,0,1,SUCCESS,0,0.5304659361539659,High Anomaly
TXN0000189221,2024-05-03 18:48:22,Bill Payment,Utilities,12684,56+,56+,Telangana,Kotak,IndusInd,iOS,5G,18,0,SUCCESS,0,0.530439833684552,High Anomaly
TXN0000192247,2024-02-17 15:52:16,P2M,Shopping,3237,46-55,56+,Rajasthan,PNB,ICICI,Web,5G,15,1,SUCCESS,0,0.5304129494857593,High Anomaly
TXN0000101848,2024-03-23 18:08:58,P2M,Shopping,2635,56+,26-35,Andhra Pradesh,IndusInd,Axis,iOS,3G,18,1,SUCCESS,0,0.5304045807957913,High Anomaly
TXN0000231126,2024-09-28 16:46:24,P2P,Shopping,771,18-25,18-25,Rajasthan,PNB,ICICI,Web,3G,16,1,SUCCESS,0,0.530366162559234,High Anomaly
TXN0000040028,2024-11-07 19:31:42,Bill Payment,Shopping,3305,46-55,26-35,Telangana,PNB,PNB,Web,3G,19,0,SUCCESS,0,0.5302993880894228,High Anomaly
TXN0000068492,2024-01-16 03:53:12,Recharge,Grocery,121,56+,56+,Andhra Pradesh,Kotak,SBI,iOS,5G,3,0,SUCCESS,0,0.5302977436093711,High Anomaly
TXN0000155572,2024-05-03 18:59:23,P2P,Healthcare,666,56+,56+,Andhra Pradesh,Yes Bank,Kotak,iOS,3G,18,0,SUCCESS,0,0.5302664101078557,High Anomaly
TXN0000177723,2024-06-09 23:32:54,P2M,Fuel,4011,26-35,56+,Uttar Pradesh,Yes Bank,IndusInd,Web,WiFi,23,1,SUCCESS,0,0.5302640705540375,High Anomaly
TXN0000003858,2024-11-08 12:15:44,Bill Payment,Shopping,2460,18-25,46-55,Rajasthan,SBI,HDFC,Web,WiFi,12,0,SUCCESS,0,0.5302476889086148,High Anomaly
